Set,Theme,Size,Headline,Tease,CTA,Image Generation Prompt
D — Sentry $29.99,Pricing-Led,"970x250 / 728x90",A personal security agent for $1 a day.,"Bond Sentry: 10 live-agent engagements/month, video monitoring, trip tracking & on-demand bodyguard. From $29.99/mo.",Try Free for 3 Days,"Confident woman in business casual walking through a city at night, empowered upright posture, glancing ahead not over her shoulder, phone in hand with Bond app screen glowing, blurred city lights behind her, pure black vignette edges, photorealistic, cinematic 35mm"
D — Sentry $29.99,Pricing-Led,300x250,Less than a gym membership. Way more useful.,"Bond Sentry gives you 24/7 live security agents, GPS tracking & bodyguard on demand — from $29.99/mo.",Start Your Free Trial,"A sleek smartphone floating at an angle displaying a clean feature list UI with a glowing '$29.99/mo' price badge, small icons for video camera, map pin, and shield arranged below, pure black background, soft studio rim lighting, photorealistic product shot"
D — Sentry $29.99,Pricing-Led,160x600,$29.99/mo.,"10 live-agent sessions. Video monitoring. On-demand bodyguard.",Try Free,"Tall vertical minimal composition: '$29.99' in large bold white sans-serif type centered, three glowing icons beneath — video camera, map pin, shield — evenly spaced, subtle white glow emanating from icons, pure black background, clean digital graphic"
D — Sentry $29.99,Pricing-Led — Value Stack,"970x250 / 728x90","10 live security agents. 1 month. $29.99.","Track Me On The Go. Video Monitor Me. Schedule a Security Check. Ready An Agent. All in Bond Sentry.",Try Bond Free — 3 Days,"Four glowing feature icons arranged in a clean 2x2 grid — map route, video camera, calendar check, shield with hand — each with a soft label beneath, thin white dividing lines, pure black background, clean modern UI illustration style, subtle blue-white accent glow"
D — Guardian $34.99,Pricing-Led,"970x250 / 728x90",30 live-agent sessions a month. $34.99.,"Bond Guardian: the most comprehensive plan — 30 engagements, AI monitoring, bodyguard, telemedicine & more.",See Guardian Plan,"Cinematic silhouette of a professional male security agent standing at a window overlooking a dark city skyline at night, suit and earpiece, confident alert posture, dramatic back-lighting from city glow, pure black foreground and edges, photorealistic, wide shot"
D — Guardian $34.99,Pricing-Led,300x250,Triple the coverage. Still under $35.,"Guardian gives you 30 live-agent sessions/month — video, audio & text — plus on-demand bodyguard, cars & telemedicine.",Start Free Trial,"A smartphone screen displaying a bold '30' in glowing gold numerals with a premium Guardian plan badge beneath it, soft golden rim light, pure black background, photorealistic product photography, luxury tech aesthetic"
D — Guardian $34.99,Pricing-Led,160x600,30 agents/mo.,Maximum Bond protection. From $34.99/mo.,Get Guardian,"Tall vertical: large bold '30' in gold-white gradient type centered on pure black background, 'sessions / month' in small refined white type below, a subtle circular gold glow radiating behind the number, minimal and premium"
D — Family Add-On,Pricing-Led,"970x250 / 728x90",Protect your whole family for under $50/mo.,"Add 4 family members to your Bond plan for just $19.99/mo — real-time tracking, live agents & emergency response for everyone.",Explore Family Plans,"Five people — two parents and three children of different ages — standing together casually, each holding or glancing at a phone, warm connection between them, individual soft glowing location pin icons floating above each person's head, pure black background, photorealistic, natural lighting"
D — Family Add-On,Pricing-Led,300x250,"5 people. One plan. Starting at $49.98/mo.","Bond personal + family add-on covers you and 4 loved ones with full live-agent security. Save 10% annually.",Start Free Trial,"Five glowing circular avatar icons connected by thin luminous lines in a network pattern, clean and modern, soft white and blue glow on each node, pure black background, digital illustration, UI design aesthetic"
D — Family Add-On,Pricing-Led,160x600,5 covered.,"You + 4 family members. From $49.98/mo. Save 10% annually.",Get the App,"Tall vertical: five location pin icons stacked vertically in a gentle arc, each a slightly different soft accent color — white, blue, teal, silver, gold — with a thin connecting luminous line, pure black background, clean minimal digital illustration"
D — Annual Savings,Pricing-Led,"970x250 / 728x90",Your safety shouldn't cost more than it has to.,"Switch to annual and save 10% on Bond Sentry or Guardian. Security you'll use every day — for less.",See Annual Plans,"A clean split-panel graphic: left panel shows 'Monthly' label with a subtle red strikethrough line, right panel shows 'Annual' label with a glowing gold '–10%' savings badge, thin dividing line between panels, pure black background, minimal typographic design"
D — Annual Savings,Pricing-Led,300x250,Save 10% when you commit to your safety.,"Bond annual plans — full live-agent security, video monitoring & bodyguard on demand. Save from day one.",Get Bond Annual,"A minimal two-column price comparison card floating on pure black background, 'Monthly' on left and 'Annual' on right with a glowing gold savings badge on the right column, clean white typography, soft ambient light on card edges"
D — Price Perception,Comparison,"970x250 / 728x90",A bodyguard used to cost thousands. Now it's an app.,"Bond Sentry starts at $29.99/mo. Live agents, video monitoring, GPS tracking & on-demand bodyguards included.",Try Free for 3 Days,"Split composition on pure black background: left half shows a suited professional bodyguard in a formal stance — serious, expensive-looking — desaturated; right half shows a modern hand holding a glowing smartphone with Bond app open, full color, dramatic editorial lighting"
D — Price Perception,Comparison,300x250,Skip the latte. Get the bodyguard.,"For less than $1 a day, Bond puts a live 24/7 security agent in your pocket. Free 3-day trial.",Download Bond,"Minimal flat-lay style: a takeaway coffee cup on the left and a glowing smartphone showing the Bond app on the right, a subtle arrow or dividing line between them, pure black background, clean studio product lighting, slightly witty and modern"
D — Price Perception,Comparison — Free Angle,300x250,Your family's safety shouldn't cost anything.,"Start with Bond free — real-time location tracking, arrival alerts & urgent tools at zero cost.",Download Free,"A parent and child sitting close together, parent looking at phone showing Bond family location screen, warm relaxed connection, gentle soft key light on faces, pure black background, photorealistic, candid intimate mood"
